G_loss,F_loss,D_X_loss,D_Y_loss
0.2819569408893585,0.27574422955513,0.2578642964363098,0.24902287125587463
0.27750691771507263,0.285557359457016,0.25235500931739807,0.2503315806388855
0.2744593918323517,0.2765854001045227,0.25155115127563477,0.24279487133026123
0.26041173934936523,0.2693771719932556,0.24748781323432922,0.251645028591156
0.2571529150009155,0.2889736592769623,0.25196391344070435,0.2528359591960907
0.2636549770832062,0.3018714487552643,0.24702945351600647,0.25203606486320496
0.2651745080947876,0.28499385714530945,0.24630238115787506,0.24958525598049164
0.27098581194877625,0.31132423877716064,0.2913663983345032,0.2489623725414276
0.2616231143474579,0.2548978328704834,0.25039488077163696,0.25054264068603516
0.2596714496612549,0.27465394139289856,0.24554499983787537,0.25200870633125305
0.25521260499954224,0.269079327583313,0.2515391707420349,0.25186097621917725
0.2691045105457306,0.2628166973590851,0.2520090341567993,0.2506985068321228
0.24758151173591614,0.2840416729450226,0.24811026453971863,0.24845357239246368
0.2616031765937805,0.28432124853134155,0.2395065724849701,0.2488546222448349
0.2697797119617462,0.27816373109817505,0.23157969117164612,0.24879179894924164
0.26075348258018494,0.2717081904411316,0.242110937833786,0.24774669110774994
0.27229049801826477,0.2742224335670471,0.24905329942703247,0.2509489953517914
0.2616702914237976,0.27615082263946533,0.25044769048690796,0.24916961789131165
0.25330644845962524,0.2669149935245514,0.24603895843029022,0.251326322555542
0.26264968514442444,0.2716171443462372,0.24592530727386475,0.2494106888771057
0.26354125142097473,0.2757995128631592,0.2543641924858093,0.2507815957069397
0.26905447244644165,0.27845075726509094,0.24550409615039825,0.24976320564746857
0.26506978273391724,0.26525914669036865,0.24966856837272644,0.24949553608894348
0.26746177673339844,0.2726012170314789,0.25046172738075256,0.25007081031799316
0.2647935748100281,0.2645811140537262,0.24829097092151642,0.24976304173469543
0.26454415917396545,0.2648080289363861,0.25072386860847473,0.25007742643356323
0.27748504281044006,0.26268523931503296,0.24970805644989014,0.2499893754720688
0.25649142265319824,0.28251343965530396,0.24977043271064758,0.24987584352493286
0.2545071840286255,0.2680045962333679,0.2508464455604553,0.25020694732666016
0.2500814199447632,0.26665768027305603,0.2502458095550537,0.2508234977722168
0.26475879549980164,0.25879865884780884,0.2506807744503021,0.250439316034317
0.2595066726207733,0.2641080617904663,0.2480701208114624,0.2493337094783783
0.25822019577026367,0.2543451189994812,0.24989184737205505,0.250149667263031
0.26097074151039124,0.25830143690109253,0.2516329288482666,0.2499973624944687
